Rooms,Area,Price,City
2.0,46.0,2050.0,Zürich
3.5,114.0,2532.0,Uster
1.5,24.0,1850.0,Zürich
2.5,70.0,3600.0,Meilen
3.5,83.0,2310.0,Richterswil
2.0,46.0,1350.0,Winterthur
2.0,46.0,1325.0,Winterthur
2.5,48.0,2600.0,Rümlang
1.0,17.0,1420.0,Winterthur
3.5,98.0,2280.0,Kleinandelfingen
2.5,47.0,1850.0,Zürich
1.5,30.0,1900.0,Höri
3.5,80.0,2650.0,Höri
4.5,103.0,2730.0,Wädenswil
1.5,39.0,1739.0,Zürich
5.5,115.0,3630.0,Stäfa
1.0,19.0,1120.0,Zürich
3.0,76.0,1430.0,Höri
3.5,94.0,2981.0,Zürich
3.0,60.0,2690.0,Zürich
1.5,35.0,1550.0,Bülach
4.5,113.0,2790.0,Lufingen
3.5,84.0,2050.0,Oberhasli
3.5,100.0,2750.0,Winterthur
4.5,111.0,2270.0,Grüningen
4.0,80.0,2084.0,Zürich
2.5,57.0,1860.0,Winterthur
2.5,58.0,1750.0,Winterthur
2.5,69.0,2400.0,Winterthur
2.5,60.0,2870.0,Winterthur
4.0,80.0,1685.0,Volketswil
2.5,58.0,3100.0,Zürich
4.5,96.0,2730.0,Dübendorf
3.0,59.0,1575.0,Horgen
3.5,110.0,3900.0,Zürich
2.5,81.0,3930.0,Zürich
4.5,91.0,1705.0,Volketswil
4.5,179.0,3380.0,Winterthur
2.5,42.0,3100.0,Zürich
2.0,23.0,2400.0,Rümlang
4.0,100.0,4635.0,Zürich
3.5,72.0,1870.0,Zürich
3.5,86.0,2800.0,Zürich
3.0,60.0,1510.0,Andelfingen
2.5,60.0,2150.0,Höri
2.5,61.0,1810.0,Dietikon
3.5,77.0,2170.0,Wallisellen
3.0,68.0,2070.0,Zürich
3.5,92.0,2231.0,Schwerzenbach
2.0,55.0,1450.0,Greifensee
2.5,64.0,1850.0,Regensdorf
3.5,91.0,3800.0,Zürich
3.5,89.0,2287.0,Winterthur
5.5,111.0,2550.0,Geroldswil
3.0,90.0,2095.0,Zürich
4.5,141.0,4970.0,Zürich
2.5,66.0,2760.0,Zürich
1.5,47.0,1850.0,Zürich
1.5,32.0,2250.0,Zürich
2.0,56.0,1725.0,Zürich
3.5,92.0,4580.0,Zürich
2.5,90.0,3370.0,Zürich
3.5,96.0,1820.0,Hinwil
2.5,70.0,3562.0,Zürich
2.5,65.0,1957.0,Bülach
4.0,80.0,1675.0,Volketswil
4.5,117.0,2810.0,Winterthur
3.5,71.0,1993.0,Regensdorf
1.5,25.0,1885.0,Zürich
3.0,62.0,1765.0,Winterthur
3.5,92.0,3050.0,Horgen
2.5,75.0,1730.0,Rafz
5.0,94.0,1977.0,Greifensee
2.5,60.0,2780.0,Zürich
3.5,75.0,2150.0,Dübendorf
2.0,57.0,1690.0,Bülach
4.5,114.0,2290.0,Kloten
3.5,87.0,2450.0,Dübendorf
2.5,57.0,1480.0,Wiesendangen
5.5,140.0,2857.0,Opfikon
2.5,58.0,3100.0,Zürich
2.5,46.0,3300.0,Zürich
2.5,58.0,3100.0,Zürich
5.5,145.0,2252.0,Bülach
3.5,78.0,2300.0,Winterthur
3.5,110.0,4325.0,Zürich
4.0,72.0,1830.0,Dietikon
2.5,50.0,1600.0,Winterthur
3.5,105.0,2690.0,Zürich
2.0,43.0,1250.0,Zürich
2.0,43.0,1390.0,Zürich
2.5,63.0,1937.0,Zürich
3.5,100.0,4350.0,Zürich
3.5,81.0,1955.0,Binz
3.5,72.0,1465.0,Hombrechtikon
2.5,89.0,4265.0,Zürich
1.5,22.0,2150.0,Zürich
1.5,25.0,2250.0,Zürich
3.5,110.0,4155.0,Zürich
4.5,98.0,2050.0,Gibswil
4.5,104.0,2695.0,Brütten
2.5,60.0,1960.0,Winkel
1.5,26.0,1800.0,Glattbrugg
3.5,81.0,2285.0,Winkel
4.5,105.0,2007.0,Bauma
3.5,96.0,2250.0,Rümlang
4.5,99.0,2176.0,Hinteregg
3.0,79.0,2986.0,Zürich
2.0,56.0,2610.0,Zürich
2.5,42.0,3150.0,Zürich
1.0,24.0,1800.0,Rümlang
3.5,85.0,2750.0,Männedorf
2.0,46.0,1325.0,Winterthur
4.0,82.0,1895.0,Volketswil
4.0,110.0,4100.0,Zürich
4.5,99.0,2090.0,Gibswil
3.5,70.0,1715.0,Dielsdorf
3.0,62.0,1560.0,Winterthur
2.0,55.0,1402.0,Greifensee
2.5,97.0,1940.0,Dietikon
2.5,57.0,2830.0,Zürich
3.5,86.0,2144.0,Bassersdorf
4.5,111.0,1955.0,Niederhasli
3.0,56.0,1009.0,Dietikon
3.5,103.0,2215.0,Winterthur
4.5,117.0,4240.0,Zürich
1.0,32.0,1080.0,Uster
3.5,81.0,2050.0,Hombrechtikon
3.5,97.0,3317.0,Zürich
3.5,91.0,2040.0,Winkel
3.5,81.0,2383.0,Zürich
1.0,22.0,1336.0,Zürich
2.5,67.0,1920.0,Bülach
3.5,102.0,4100.0,Dübendorf
4.5,102.0,4200.0,Dübendorf
4.5,111.0,2690.0,Fällanden
4.0,74.0,1880.0,Horgen
1.5,46.0,1320.0,Weiach
4.5,95.0,3190.0,Adliswil
3.5,79.0,2234.0,Winkel
4.5,98.0,2050.0,Mettmenstetten
2.5,57.0,2590.0,Zürich
3.5,64.0,1530.0,Bülach
3.5,82.0,1864.0,Hinwil
1.5,34.0,2290.0,Zürich
3.0,72.0,1820.0,Dietikon
2.5,54.0,1730.0,Horgen
4.5,119.0,3125.0,Wermatswil
3.5,96.0,2520.0,Winterthur
3.5,77.0,1900.0,Dübendorf
4.5,81.0,1850.0,Esslingen
3.0,78.0,2938.0,Zürich
4.0,110.0,6000.0,Zürich
2.5,48.0,1990.0,Kloten
1.5,38.0,1590.0,Kloten
1.0,26.0,1410.0,Zürich
3.0,64.0,1890.0,Opfikon
4.0,79.0,1840.0,Uster
4.0,93.0,2364.0,Schlieren
5.5,123.0,3770.0,Horgen
3.5,77.0,2390.0,Horgen
4.5,109.0,3040.0,Horgen
1.5,30.0,1090.0,Horgen
2.0,54.0,2150.0,Zürich
4.5,107.0,2520.0,Winterthur
4.0,84.0,1960.0,Greifensee
2.5,53.0,2290.0,Zürich
4.5,102.0,2376.0,Schwerzenbach
3.5,90.0,1770.0,Eglisau
4.0,81.0,1960.0,Greifensee
3.5,91.0,2249.0,Esslingen
3.5,61.0,1990.0,Zürich
3.5,71.0,3155.0,Adliswil
4.5,121.0,2665.0,Ossingen
3.0,77.0,3390.0,Zürich
1.0,33.0,1090.0,Uster
2.5,72.0,2750.0,Bülach
4.5,113.0,2404.0,Winterthur
3.5,123.0,4650.0,Zürich
3.0,55.0,2170.0,Zürich
3.5,78.0,1692.0,Dübendorf
2.5,61.0,1870.0,Dübendorf
4.5,89.0,2699.0,Dietlikon
3.5,94.0,2620.0,Dübendorf
5.5,123.0,3290.0,Dübendorf
4.5,131.0,3220.0,Wädenswil
4.0,74.0,1887.0,Horgen
5.5,105.0,2201.0,Hombrechtikon
4.5,120.0,3300.0,Benglen
3.5,92.0,2880.0,Horgen
2.5,112.0,2150.0,Elgg
3.0,62.0,1595.0,Dietikon
3.0,64.0,1650.0,Niederhasli
4.5,138.0,7800.0,Thalwil
1.0,24.0,1920.0,Zürich
3.5,70.0,2390.0,Zürich
3.5,92.0,3100.0,Zürich
2.5,57.0,1750.0,Uster
3.5,169.0,9000.0,Zürich
3.0,139.0,3336.0,Wallisellen
3.0,70.0,1920.0,Winterthur
4.0,215.0,13790.0,Zürich
3.5,102.0,3290.0,Winterthur
2.5,41.0,1753.0,Riedikon
2.5,50.0,1660.0,Schlieren
1.0,15.0,1234.0,Zürich
1.0,15.0,1311.0,Zürich
3.5,82.0,2990.0,Zürich
3.5,105.0,3290.0,Pfaffhausen
3.0,70.0,3051.0,Zürich
3.5,96.0,3617.0,Zürich
5.0,95.0,4395.0,Zürich
4.5,105.0,3850.0,Zürich
3.5,137.0,6440.0,Zürich
2.5,59.0,2320.0,Zürich
2.0,92.0,3920.0,Zürich
3.5,172.0,5000.0,Ebmatingen
4.5,187.0,7350.0,Ebmatingen
1.5,59.0,2360.0,Zürich
3.5,98.0,2017.0,Regensdorf
1.5,24.0,1960.0,Zürich
1.5,24.0,1960.0,Zürich
1.0,28.0,1700.0,Regensdorf
3.5,80.0,2165.0,Wiesendangen
3.5,99.0,2770.0,Dietikon
2.5,94.0,2715.0,Wallisellen
3.5,102.0,4050.0,Dübendorf
3.5,102.0,4050.0,Dübendorf
2.0,43.0,1600.0,Kloten
4.0,77.0,1732.0,Winterthur
3.5,65.0,1990.0,Winterthur
2.5,71.0,2980.0,Zürich
3.5,84.0,1885.0,Niederhasli
4.5,118.0,2920.0,Kloten
3.5,83.0,3900.0,Zürich
2.5,87.0,2663.0,Zürich
3.5,76.0,3622.0,Zürich
2.5,90.0,2060.0,Wallisellen
2.5,53.0,1555.0,Uster
5.5,127.0,2995.0,Illnau
2.5,66.0,2375.0,Zürich
4.0,82.0,2520.0,Zürich
3.5,74.0,2590.0,Zürich
1.5,71.0,1920.0,Bülach
4.5,97.0,2485.0,Zürich
2.5,67.0,3100.0,Zürich
5.5,118.0,3500.0,Dübendorf
3.5,91.0,1982.0,Winterthur
4.5,142.0,3787.0,Winterthur
3.5,114.0,4882.0,Zürich
3.5,82.0,1960.0,Winterthur
4.5,165.0,6140.0,Zürich
3.5,100.0,2070.0,Stallikon
3.5,113.0,3852.0,Zürich
